job_role,skills
Data Scientist,"Python,SQL,Machine Learning,Statistics,Pandas,NumPy,Data Visualization,Jupyter"
DevOps Engineer,"AWS,Docker,Kubernetes,CI/CD,Linux,Terraform,Automation,Git,Cloud"
Backend Developer,"Java,Python,SQL,APIs,REST,Spring Boot,Node.js,Database Design"
Frontend Developer,"JavaScript,React,CSS,HTML,TypeScript,UI/UX,Web Design,Redux"
Machine Learning Engineer,"Python,TensorFlow,PyTorch,Machine Learning,Deep Learning,MLOps,Docker,Data Structures"
Cloud Architect,"AWS,Azure,Cloud,Cloud Computing,Automation,Networking,Security,Terraform,Kubernetes"
Cybersecurity Analyst,"Networking,Security,Linux,Python,Penetration Testing,Cryptography,Firewalls"
Mobile App Developer,"Java,Kotlin,Swift,Flutter,React Native,Mobile UI/UX,APIs"
Database Administrator,"SQL,Database Design,PostgreSQL,MySQL,Data Structures,Backup Recovery,Performance Tuning"
AI Research Engineer,"Python,Machine Learning,Deep Learning,Research,PyTorch,Algorithms,Mathematics,NLP"
Full Stack Developer,"JavaScript,Python,React,Node.js,SQL,APIs,Git,Database Design"
Systems Administrator,"Linux,Networking,Automation,Bash,Cloud,Security,Windows Server"
Data Engineer,"Python,SQL,ETL,Data Structures,Apache Spark,Cloud,Data Pipelines,Automation"
Site Reliability Engineer,"Kubernetes,Docker,Automation,Linux,Monitoring,CI/CD,Cloud,Python"
Blockchain Developer,"Solidity,Cryptography,Smart Contracts,JavaScript,Security,Algorithms"
